2026-07-08T20:50:56.670Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=160 load_duration_ms=131 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=131 memory_rss_mb=28.67
2026-07-08T20:50:57.735Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:57.925Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=99735 ack_latency_ms=- data_freshness_ms=99735 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:57.986Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=99735 threshold_ms=15000
2026-07-08T20:50:57.987Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:57.990Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:57.990Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:57.990Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=184 load_duration_ms=155 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=155 memory_rss_mb=28.68
2026-07-08T20:50:59.055Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:59.226Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=101055 ack_latency_ms=- data_freshness_ms=101055 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:59.288Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=101055 threshold_ms=15000
2026-07-08T20:50:59.288Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:59.291Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:59.291Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:59.292Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=168 load_duration_ms=138 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=138 memory_rss_mb=28.68
2026-07-08T20:51:00.356Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:51:00.584Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=102356 ack_latency_ms=- data_freshness_ms=102356 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:00.645Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=102356 threshold_ms=15000
2026-07-08T20:51:00.646Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:51:00.648Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
