2026-07-08T20:52:13.200Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=115947 ack_latency_ms=- data_freshness_ms=115947 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:14.479Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=117319 ack_latency_ms=- data_freshness_ms=117319 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:15.861Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=118612 ack_latency_ms=- data_freshness_ms=118612 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:17.230Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=119981 ack_latency_ms=- data_freshness_ms=119981 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:18.526Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=121361 ack_latency_ms=- data_freshness_ms=121361 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:19.907Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=122657 ack_latency_ms=- data_freshness_ms=122657 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:33.364Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=76198 ack_latency_ms=- data_freshness_ms=76198 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:34.724Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=77553 ack_latency_ms=- data_freshness_ms=77553 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:36.114Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=78852 ack_latency_ms=- data_freshness_ms=78852 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:37.398Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=80236 ack_latency_ms=- data_freshness_ms=80236 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:38.777Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=81518 ack_latency_ms=- data_freshness_ms=81518 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:40.161Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=82910 ack_latency_ms=- data_freshness_ms=82910 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:41.551Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=84283 ack_latency_ms=- data_freshness_ms=84283 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:42.919Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=85672 ack_latency_ms=- data_freshness_ms=85672 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:44.353Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=87050 ack_latency_ms=- data_freshness_ms=87050 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:45.711Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=88473 ack_latency_ms=- data_freshness_ms=88473 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:47.102Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=89843 ack_latency_ms=- data_freshness_ms=89843 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:48.493Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=91234 ack_latency_ms=- data_freshness_ms=91234 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:49.956Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=92703 ack_latency_ms=- data_freshness_ms=92703 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:51.278Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=94086 ack_latency_ms=- data_freshness_ms=94086 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:52.669Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=95409 ack_latency_ms=- data_freshness_ms=95409 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:54.037Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=96798 ack_latency_ms=- data_freshness_ms=96798 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:55.483Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=98233 ack_latency_ms=- data_freshness_ms=98233 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:56.864Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=99615 ack_latency_ms=- data_freshness_ms=99615 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:58.242Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=100992 ack_latency_ms=- data_freshness_ms=100992 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:59.568Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=102358 ack_latency_ms=- data_freshness_ms=102358 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:00.937Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=103690 ack_latency_ms=- data_freshness_ms=103690 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:02.316Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=105058 ack_latency_ms=- data_freshness_ms=105058 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:03.685Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=106439 ack_latency_ms=- data_freshness_ms=106439 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:05.053Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=107818 ack_latency_ms=- data_freshness_ms=107818 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:06.422Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=109175 ack_latency_ms=- data_freshness_ms=109175 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:07.871Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=110552 ack_latency_ms=- data_freshness_ms=110552 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:09.161Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=112003 ack_latency_ms=- data_freshness_ms=112003 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:10.487Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=113294 ack_latency_ms=- data_freshness_ms=113294 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:11.789Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=114621 ack_latency_ms=- data_freshness_ms=114621 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:13.223Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=115914 ack_latency_ms=- data_freshness_ms=115914 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:14.525Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=117350 ack_latency_ms=- data_freshness_ms=117350 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:15.881Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=118657 ack_latency_ms=- data_freshness_ms=118657 error_count=1 error_rate_per_min=1.00
2026-07-08T20:53:17.173Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=120012 ack_latency_ms=- data_freshness_ms=120012 error_count=1 error_rate_per_min=1.00
